y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
9999,3.3,32.0,31.5,0.5,0.0,0.5,0.5,0,11.7,0,0,0.3,0,0,3.8,0,0,1.3,5.9,12.6,15.4,0,35.8,0,0.2,18.3,0,3.4,3.8,7.2,6.6,7.8,0,3,0,4.5,0,6.2,0,10.3,0,9.6,9,1,12.1,3.5,0,60.1,0,0
9999,25.4,0.0,1.5,0.0,0.3,8.4,0,0,35.6,5.1,8.1,28.7,0.3,1,0.3,10.5,18.3,0.3,0,10.1,38.4,0,1.8,0,19.3,18.6,0,0,0,0,28.3,39.9,0,0,10.4,3.6,0,1.3,0,0,7.1,18.5,0,13.5,25.9,1.5,0,0,16.3,15.6
9999,1.8,0.0,9.4,30.5,2.3,6.6,0,9.7,0.5,21.8,25.4,41.1,0.8,0,11.4,16.4,1.5,4,0,4,1,10.5,2.2,0,0,7.1,0,0,0,0,0,44.6,0,0,7.9,11.2,0,4.6,0,0,0,58.4,0,0,0,0,0,0,0,0
9999,59.4,0.0,1.0,5.8,0.0,0,0,3.3,1.5,0.3,13,45.5,1.8,0,0,7.8,6.7,0,0,21.8,0,15,27.5,0,0,26.3,0,4,1,8.4,1.2,21.5,0,32.6,0,1.5,0,0,36.9,0,19.6,16.5,0,73.5,0,0,0,70.8,11.1,0
9999,1.3,0.0,2.3,0.0,0.0,0.5,0,5.8,1.3,7.1,2.5,7.9,0.5,0,0,0,40.3,7,0,3,0,0.7,0,7.5,0,12.7,0,9.1,0,0,0.5,14.6,0,1.1,0,0,0,0,19.4,1.3,4,0,0,0,17.1,5.2,0,7.7,34.2,7
9999,0.8,25.4,3.0,17.8,4.3,0,0,0,1.8,0.3,1.3,0,0,0,0,17.5,0,8.5,0,0.9,0,0,30,39.4,0,1.1,0,0,0,0,1.5,0.2,0,0.6,6.2,13.1,0,0,0.9,3,14.9,0,0,0,0,1,0,28.9,2.3,3.5
9999,1.8,24.9,10.9,1.0,0.0,0,11.2,0,0,6.1,1.5,26.9,26.7,0,0,4.3,59,2,0,0,0,0,27.5,9.1,39.5,13.9,0,22.4,0,0,1.6,33.7,0,0,1.4,6.3,0,0,24.5,24.5,16,0,0,0,1,0,0,10.4,8.7,7
9999,0.3,13.5,1.3,40.6,1.0,5.3,28.4,16.5,53.8,24.1,24.6,1,12.7,0,0,0,0,0,0,0,0,0,0.2,14.8,0.1,22.9,7.6,0.7,0,0,46.1,0,2.8,0,27,95,3.2,32.3,0,0,0,0,0,1.5,0,0,0,15.2,2.3,1.5
9999,1.0,4.8,51.3,2.3,3.8,20.6,0,16,0,16,7.1,6.1,0,0,0,28.3,21.1,0,0,0,0,0,85,21.4,0,1.4,0,1.1,0,0.4,1.6,4.3,33.6,0,0,45.1,46,0,0,0,46,0,0,2.1,6,0,0,35.6,0,0
9999,7.6,15.5,0.0,0.8,0.8,0,0.8,5.6,31.8,0,0,8.9,3,0.3,0,25.5,41,0,0,0,0,0,10.1,25.2,0,4.9,0,0,0,1.5,0,0.2,3,73.8,0.1,9.2,0,0,38.6,0,4.1,0,0,0,60.5,0,0,0,0,0
