1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,0,0,0,0,0,1.5,0,0,4.6,0.3,0,11.2,0,0,1,0,10.7,0,0,0.3,21.1,12.2,0,0,0,0,0,10.2,0,0,19.6,0.0,0,1,5.6,0,0,0,5.3,0,0,0,0,0,9.3,0,90.4,0,19.2,0.4,0.0,0.0,0.0,0.0,1.1,2.4,3,6.1,1.2,0.0,1,25.5,40.6,12.2,7.4,0,45.7,0.4,0,8.4,0,22.5,25,0,6.9
0,0,0,0,0,0,1.5,0,0,0,0,0,7.1,0,23.1,0,0,0,0,0,0,0,15,0,0,0,0,6.1,0,48,0,13.5,0.5,19.8,0,7.9,0,0,0,0.3,0,0,0,0,0,12.2,0.8,72.2,0.5,17.8,0.0,0.0,13.6,0.0,0.0,0.0,0.0,8.5,7.4,0.0,0.0,0,15.9,0,10.7,6.7,0,2.6,0,0,0,0,29.3,6,0,0
7.1,0,0,0,2.8,1.8,10.2,0,0,0,45.7,0,7.1,14.5,1.5,22.9,0,1.5,24.9,0,0,0,1,0,0,0.5,0.3,0.5,0,0,9.7,5.3,16.8,6.1,0,0,0,0,0,6.4,0,0,1.3,62,0,33.4,3.2,0.6,0.2,0.4,0.0,0.0,3.7,1.3,28.7,0.0,2.1,22.6,6.2,0.0,0.0,0,0,0,12.6,8.4,0,0,0,0,0,1.3,10.3,4.4,0,0
0,0,11.2,0,0.5,88.9,0.3,25.9,0,11.7,0,0,3,0,0,0,0,0.5,118.9,0,0,0,0,1.8,0,0,16.5,0,0,0,12.7,7.1,0.0,18.5,6.6,0,0,0,0,0,0,0,4.8,3,0,7.7,15.6,0.1,1.1,0.1,0.0,3.1,9.3,1.2,68.6,0.6,0.0,1,11.9,17.8,0.0,0,0,0,5,4.1,0,0,0,0,0,0,0,0,0,0
0,0,8.6,39.6,0,4.1,8.6,0,0,0,0,1,8.9,0,0,3.8,0,0,5.3,0,7.4,0,9.4,38.9,3,0,0,0.3,0,0,0,41.4,0.0,5.6,34,0,0,0,1.3,0,0,0,0,30.5,0,1.4,18.2,17,8.2,23,0.0,0.0,1.5,42.0,33.2,0.5,29.8,2.2,3.4,1.9,0.0,95.2,3.7,0,6.3,18.7,6.5,0,0,62.4,0,40.4,0,0,5.1,0
0,51.6,43.4,7.9,0,0,1,7.4,0,1.3,4.3,41.9,4.3,0,0.8,21.6,0,0,0,0,21.3,0,0,0,0,34.3,1.8,0,0,0,0,63.5,0.0,0,16.8,0,5.6,2.5,0,0,20.8,0,34,6.9,0,7.2,3.4,0.2,20.6,46.8,2.1,0.0,0.0,6.2,11.2,0.0,1.0,0,4.2,39.6,0.0,50.8,30,0,11.3,5.4,0,13.2,2.1,0,3.5,8.9,0,0,0,0
25.1,0,0,0,0,43.7,0,1.8,0,0,16.3,8.9,3.3,0,1.8,0.5,0,0,6.4,3.3,2.8,41.1,5.8,0,7.6,8.9,0,0,0,25.4,0,0.0,0.0,0,0.8,0,13.2,5.8,0,0,0,0,3.8,2.5,0,0.7,18.6,8.9,13.3,54.9,5.5,0.0,0.0,20.0,0.0,0.0,3.2,21.9,7.8,2.8,0.0,75,8.9,0,22.5,2.6,0,10.6,5.5,0,0,7.5,0,2,43.5,0
0,37.8,9.7,0,0,6.1,84.3,0,0,0,12.2,0,1.5,0,0.3,29.5,0,0,0,7.9,0,0,92.2,0,0.8,0.8,25.7,0,0,5.6,0,0.0,31.0,0,2.3,27.9,1,0,1.5,0,0,0,0,0,0,47.2,20.3,0,1.1,12.7,0.0,2.9,0.0,0.3,44.4,0.0,1.0,0,13.4,1.0,0.0,44.5,0,2.2,15.7,4.2,0,0,0,13.3,0,0,0,13.2,0,26.8
0,21.3,0,46,0,4.6,4.3,12.2,0,0,0,29.7,0,0,0,5.6,6.4,0,6.6,50.8,0,0,0,0,18,0,0,0,0,0,0,0.0,1.8,0,1.3,9.7,2.8,1.3,1.3,0,0,0,0,0,0,5.6,0.9,0,0,23.7,10.2,0.0,0.0,0.0,44.7,0.0,0.0,4.5,9.2,5.0,0.0,0,0,3,14.9,6.7,0,0,10.2,8.7,31.8,13.2,0,97,0,5.9
0,4.1,0,0.3,0,0,0,9.9,0,0,0,6.9,34.5,0,0,0.3,27.7,6.1,0,0.5,0.8,4.3,0,0,1.5,3.8,0,0,0,0,0,0.0,0.0,7.9,0.5,0,0,0,0.8,0,0,0,0,0,0,0.4,90.6,0,0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4,12.8,14.4,20.8,13.8,15.2,0,1.2,6.1,1.5,0,29.4,0,4.4,1.9,0,0,7,0,11.5
63,0.5,3.6,3,0,0,0,0,0,66.3,2.5,2.5,1,2.8,0,2.8,1.5,2.3,5.6,0,0,22.1,0,0,20.3,0,0,0,0,0,0,0.0,5.1,33.3,31.8,0.5,0,0,0,68.1,0,1.5,0,0,0,0,0.1,0,19.4,33.8,34.8,0.0,0.0,0.0,0.0,0.0,12.8,0,14.9,76.9,24.2,8.9,2.1,0,10.6,2.8,0,0,34.8,7.8,10.3,0,0,0,0,7.8
7.9,0.3,29.7,110.5,0,0,2,1.5,0,5.1,0,0,15,10.7,0,16.3,26.9,17.5,1.8,0,0,1,0,0,0,0,11.2,0,0,0,0,0,0.5,2,5.6,0,0,0,0,1.8,0,8.4,2.8,0,0,1.1,11.7,0,6.6,42.6,14.9,0.0,0.0,0.0,0.0,0.0,103.0,32,9.8,0.0,42.3,6.8,58.5,0,20,1.6,35.4,0,2.6,1.2,0,0,0,0,0,0
15.7,20.6,0,6.6,0,1,0,7.6,0,14.2,0,0,49,0.3,0,0.5,0,6.4,15.7,0,0,0,0,0,0.8,0,0,0,0,0.5,63.8,0,1.3,0,5.1,0,0,0,0,0,0,0,0,4.1,2.2,7.2,26.4,0,0,7.9,10.7,0.0,18.8,0.0,0.0,0.0,0.0,18.9,15.6,0.0,40.1,0,2.8,0,0.6,2.2,4.7,0,1.9,1.3,0,0,0,0,0,5.7
1,9.9,0,45,0,24.1,0,7.6,4.3,8.4,0.3,0,12.7,14.2,1,14,0.5,0.5,2.8,0,0,6.9,0,16.3,0,0,0,0,0,0,3.8,0,0,0,2,0,5.3,0,0,0,0,3.3,0,0,22.7,1,15.7,0,0,45.8,3.7,0.0,0.0,0.0,0.0,1.7,2.0,20,15.4,0.0,20.6,8,25.2,0,39.4,9.2,0,0,0,0,0,0,0,0,7.8,23.8
0,0,0,0,20.1,2.5,0,0,5.3,0,31.8,0,17.3,14.2,6.6,16.5,0,0,5.3,2.3,0.8,6.9,0,3,12.2,0,0,13.5,2.3,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,50,37.7,7,0,0,0,2.1,29,0.0,0.0,14.1,2.0,0.0,0.0,3,6.9,0.0,11.9,4.5,26.7,3,1.1,1.3,0.5,0,0,16.8,0,0,55.6,3,0,6
0,0,0,1.3,54.9,7.4,0,0,2.8,0,6.4,23.4,0.5,4.3,9.7,27.2,0,0,49,0,0,0.8,0,11.2,19.8,0,0,0.8,7.1,32.3,0,0,1.3,0,0,0,0,0,0,0,4.6,1.8,8.4,16,9.1,22,21.6,0,0,0,13.9,13.6,0.0,0.0,59.7,0.0,1.2,20,2.2,0.0,0.0,1,0,0,2.8,2.7,1.4,0,0,5.8,0,0,0.5,10.8,0,0
0,16,0,1,7.4,0,25.9,1.5,20.3,20.6,0.8,0,0,25.7,10.2,15.2,0,1,1,0,14.7,1.8,0,17.8,1,0,0,0,0,0,0,1,39.4,0,6.4,0.8,0,0,0.8,0,0,5.6,10.2,18,25.7,6.6,0.8,0,15.9,132.2,0.0,5.4,0.0,0.0,6.1,0.0,15.8,46.6,1,0.0,0.0,65.8,0,4.6,0.4,2.5,0.1,0,0,3.2,0,8.4,0,0,28.1,0
