Y1960,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
0.0,0.0,9.7,3.8,17.8,0.0,0.0,0.0,4.3,1.8,0.0,0.0,21.8,4.6,4.6,0.0,0.0,0.5,3.3,0.0,0.0,0.0,33.3,0.0,0.0,35.1,13.7,0.0,0.4,0.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,36.2,0.0,21.2,0.0,0.0,23.5,1.0,0.0,0.2,0.2,24.6,0.6,0,13.9,0,4.6,71.8,19.4,0,0.2
0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,55.7,0.0,0.0,73.5,0.0,0.0,0.0,0.6,6.1,4.0,96.5,3.2,0.0,1.5,0.0,22.1,0.3,0.0,7.8,0,0,2.2,0,2.8,0,63.2,0,1.2
0.0,0.0,3.6,18.8,0.0,1.3,0.0,0.0,10.4,0.0,1.5,30.7,3.8,134.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,9.2,0.0,0.0,26.1,0.1,2.3,0.0,0.0,0.0,0.0,0.6,0.0,28.0,0.0,0.0,21.5,2.8,0.9,8.2,0.0,52.0,0.0,0.0,0.0,1.7,0.0,0.0,24.2,11.4,0,26.9,0,0,0,24.9,0,12
0.0,0.0,0.0,5.8,4.3,49.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.9,19.3,0.0,0.0,14.6,1.5,0.0,12.5,15.5,0.0,22.0,1.1,2.0,3.6,0.0,0.0,0.0,2.1,69.4,19.6,0,0.6,2.3,10.2,0,1.1,16,0,1.2
0.0,0.0,0.0,1.0,0.0,4.6,0.0,0.0,0.0,7.6,0.0,0.0,7.6,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,3.0,2.5,0.0,0.0,0.0,0.7,1.8,40.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.3,50.2,0.0,0.0,25.0,0.0,0.0,0.0,6.2,0.0,0.0,13.7,0,0.0,1,0,0,2.7,76.7,2.6
0.0,0.0,46.7,35.8,0.0,0.0,8.9,0.0,0.0,1.5,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.6,0.0,3.2,7.4,0.0,4.3,0.0,10.5,0.0,0.0,3.2,0.0,0.0,8.1,45.5,0.0,7.6,0.0,40.5,0.0,0.0,0.0,17.0,3.2,0.0,0.0,0,2.8,0.0,1.5,0,0,0,0.6,0
0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.3,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,7.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0.0,0.0,11.5,33.3,3.3,19.2,0.0,42.5,13.5,1.0,6.5,0.0,8.2,53.8,0.0,0.0,48.0,0.0,8.4,0.0,0.0,0,4.4,0.2,0,0,0,21.4,11.7,41.1
0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.8,30.0,1.3,0.0,0.0,8.8,50.0,0.7,0.0,0.0,1.2,5.0,0.0,0.0,25.5,0.0,0.0,0.0,1.2,25.3,0.0,19.4,16.0,0.0,67.8,0.0,0.0,2.0,2.5,12.6,0.2,0.0,4.8,0,0,17.4,6.4,3.3,0,21.1,0.1,22.3
0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,1.3,0.0,0.0,0.0,9.2,0.0,10.0,0.0,19.4,0.0,0.0,0.0,3.7,0.5,7.5,0.0,0.0,24.1,1.6,4.0,2.8,9.8,1.5,0.0,2.8,0.0,5.5,0.0,0.0,34.5,21.5,11.8,0,0.0,24.1,0,0,1.6,0,27.5
0.0,0.0,1.5,0.0,0.0,5.1,0.0,0.0,80.3,27.9,1.5,3.6,3.3,0.0,0.0,10.7,10.9,7.1,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,1.4,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.6,7.6,0.0,0.0,0.0,74.8,0.2,9.5,0.0,1.8,17.2,20.1,5.4,0,13.0,52.6,0.1,0,0,0,21.2
0.0,0.0,4.3,0.0,0.0,8.1,0.0,0.0,3.0,0.0,22.4,43.2,0.0,1.3,0.3,22.4,14.2,19.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,38.3,2.1,0.0,0.0,5.2,0.0,38.5,2.0,9.0,0.0,2.0,14.0,1.0,0,0,0.0,29.2,39.6,0,0,0,42.1
0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,76.2,0.0,3.8,34.3,20.8,0.0,6.9,0.0,0.0,1.5,16.0,0.0,0.0,0.0,2.3,0.0,0.3,18.3,25.9,4.0,63.6,0.0,0.0,14.0,0.0,4.5,6.9,0.0,0.3,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,39.4,3.9,0,3.8,0,0.4
0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.8,0.0,0.0,23.9,13.0,18.8,10.4,0.0,0.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,27.7,0.0,1.1,1.5,3.3,0.0,6.8,0.0,0.0,18.4,0.2,15.2,0.0,12.5,56.1,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,0,0.0,8.9,0.4,8.3,0,0,1.5
0.0,0.0,0.0,11.2,0.0,0.0,0.0,15.7,1.0,0.0,17.5,33.5,0.0,23.1,0.0,0.0,0.0,0.0,11.7,0.0,29.5,0.0,1.7,2.6,0.0,0.1,14.8,0.0,2.5,23.7,0.0,0.0,0.5,0.0,0.2,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0,0,0.0,0,0,0,0,0,0
8.4,0.0,0.0,0.0,0.0,51.1,0.0,0.0,0.0,0.0,13.0,64.0,0.0,8.1,48.3,0.0,0.0,0.0,20.3,0.0,0.0,0.0,4.4,9.3,0.0,3.6,0.1,14.8,0.0,9.0,0.0,0.0,1.0,53.0,14.0,0.0,36.5,0.3,0.0,20.0,0.0,18.2,3.6,0.0,0.0,7.0,0.0,0.0,0.4,1.2,0,26.0,0,0,2.3,0.6,1.8,0.3
104.1,0.0,0.0,0.0,12.2,1.3,0.0,10.7,0.0,0.0,0.0,35.3,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,12.4,0.0,0.3,12.6,0.0,4.8,13.8,0.0,36.2,0.0,0.0,0.5,0.0,21.3,0.0,0.0,0.0,4.1,55.5,1.8,0.0,5.3,13.7,3.5,20.0,8.2,1.2,1.2,12.0,0,0.5,0.0,0,0,3.9,0,0,0
0.0,13.0,2.5,8.9,6.4,48.5,0.0,19.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5,0.8,8.9,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.4,0.9,22.9,32.0,0.9,0.0,0.0,0.0,7.3,0.0,14.4,15.0,13.0,12.8,0.3,0.0,26.2,2.2,2.0,0.5,0.8,0.0,0.0,10.2,0,0,0.0,0.3,0.1,34.2,0,5.3,0
0.0,0.0,57.9,0.0,12.7,0.0,30.5,5.3,0.0,65.0,0.0,0.0,22.4,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9.7,0.0,0.0,0.0,2.3,15.5,0.0,0.0,0.0,1.0,0.0,0.0,20.1,1.1,0.0,0.0,29.0,0.0,0.0,8.5,0.0,0.0,19.8,3.0,0,0,0.0,0,20.5,0,7.4,1.1,6.5
0.0,0.0,0.0,4.1,17.8,0.0,0.0,8.4,0.0,2.0,0.0,0.0,4.8,0.0,4.1,0.0,0.0,0.0,4.1,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.1,0.0,12.0,17.4,0.0,0.0,0.5,0.0,57.7,0.0,0.0,40.0,0.0,0.0,0.0,2.3,0.0,0.0,26.0,2.5,0.0,9.2,9.5,0,20.1,7.2,0,63,31.4,25,19.8,110.2
